AreaName,VenueCount,ShowtimeCount,TotalSeats,BookedTickets,TicketsSold,TotalGross,BookedGross,Occupancy
hyderabad,78,534,222504,170239,170239,48669170.00,37185220.00,76.51%
nellore,2,12,4085,2813,2813,913461.00,635512.00,68.86%
guntur,5,21,4791,3216,3216,850563.00,583179.00,67.13%
warangal,6,30,12755,8470,8470,2526705.00,1770220.00,66.41%
vizag-visakhapatnam,24,149,51775,33980,33980,10311780.00,6974785.00,65.63%
vijayawada,20,110,39350,21923,21923,7773513.00,4482915.00,55.71%
bengaluru,80,365,122295,47655,47655,28370735.00,12614080.00,38.97%
khammam,1,4,3512,1173,1173,497060.00,191145.00,33.40%
nizamabad,2,10,3525,721,721,1049775.00,221000.00,20.45%
karimnagar,2,10,3910,760,760,989050.00,210775.00,19.44%
TOTAL_ALL_REGIONS,220,1245,468502,290950,290950,101951812.00,64868831.00,62.10%
