AreaName,VenueCount,ShowtimeCount,TotalSeats,BookedTickets,TicketsSold,TotalGross,BookedGross,Occupancy
hyderabad,78,535,222706,173650,173650,48729615.00,38038310.00,77.97%
nellore,2,12,4085,2907,2907,913461.00,655777.00,71.16%
guntur,5,21,4791,3304,3304,850563.00,599471.00,68.96%
warangal,6,30,12755,8523,8523,2526705.00,1784070.00,66.82%
vizag-visakhapatnam,24,149,51708,34448,34448,10288443.00,7062660.00,66.62%
vijayawada,21,115,41045,23054,23054,8072659.00,4705706.00,56.17%
bengaluru,80,366,122502,49879,49879,28447025.00,13253050.00,40.72%
khammam,1,4,3512,1235,1235,497060.00,201365.00,35.17%
nizamabad,2,10,3525,737,737,1049775.00,225830.00,20.91%
karimnagar,2,10,3910,708,708,989050.00,198805.00,18.11%
TOTAL_ALL_REGIONS,221,1252,470539,298445,298445,102364356.00,66725044.00,63.43%
